plotID,county_region,county,own_land,community_land,government_land,mosque_church_land,school_land,other_land,crops,croplist,species_name,plant_date,number_planted,number_survived,woodlot,internal_boundary,external_boundary,garden,crop_field,pasture_grassland,fallow_bushland,mgt_prunning,mgt_fencing,mgt_weeding,mgt_watering,mgt_organic_fertilizer,Hectare
2347,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"maize,cassava",Grevillea robusta,2018-11-01,20,18,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,2.39261484916758
16568,Eastern,Kayonza,yes,no,no,no,no,"",No,"",accasia,2017-11-01,5,3,no,no,no,yes,no,no,no,no,no,yes,no,no,0.0340070137270093
5171,Eastern,Bugesera,yes,no,no,no,no,"",Yes,"urutoki,imyumbati,amateke,ibijumba",ibinyomoro,2018-11-01,4,2,no,no,no,yes,no,no,no,no,no,yes,yes,yes,0.0175679400019477
34409,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Beans and maize,Carica papaya,2018-10-01,13,4,no,yes,no,no,no,no,no,yes,no,yes,no,yes,0.437500626153067
28181,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Sorghum,Grevellea rubusta,2018-10-01,5,2,no,no,yes,yes,no,no,no,no,no,yes,no,yes,0.0103208714638558
21589,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"banana,beans, maize",Mangifera indica,2018-10-01,1,1,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.074814909238718
1473,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Maize and cassava,Croton megalocopus,2018-12-01,2,2,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,0.0923634369320149
21542,Eastern,Nyagatare,yes,no,no,no,no,"",No,"",Grevillea Robusta,2018-11-01,8,8,no,no,yes,no,no,no,no,yes,no,yes,no,no,0.0375234468387341
2661,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,banana,grevillea robusta,2018-11-01,8,6,no,no,yes,no,no,no,no,yes,no,no,no,no,0.0249925456617386
19577,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,"beans, bananas, cassava",Grevillea Robusta,2018-11-01,35,34,no,yes,no,no,no,no,no,yes,no,yes,no,no,0.555904827608018
27960,Eastern,Bugesera,yes,no,no,no,no,"",No,"",Eucalyptus spp,2018-09-01,1200,1156,yes,no,no,no,no,no,no,no,no,no,no,no,0.158909823872555
5853,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,"bananas, maize beans,yam",carica papaya,2018-11-01,6,4,no,yes,no,no,yes,no,no,no,no,yes,no,no,0.0275117431146211
36068,Eastern,Kayonza,yes,no,no,no,no,"",Yes,banana,solanum betaceum,2018-11-01,30,17,no,yes,no,yes,yes,no,no,no,no,no,no,yes,0.0735723184674325
3786,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,"banana ,caffee",solanum betaseum,2018-10-01,5,3,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.0112616935179408
14962,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,maize,Grevillea robusta,2018-10-01,30,30,no,yes,no,no,no,no,no,yes,no,no,no,no,0.23056957504745
17939,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Maize,Grevillea Robusta,2018-10-01,27,23,no,yes,no,no,no,no,no,yes,no,no,no,no,0.0223385066828597
33509,Eastern,Kayonza,yes,no,no,no,no,"",No,"",sena spectabulis,2018-11-01,70,45,yes,no,no,no,no,no,no,no,no,yes,no,no,0.293161131188752
32202,Eastern,Bugesera,no,no,no,yes,no,"",Yes,Sorghum and Beans,Grevillea robusta,2018-11-01,3000,1600,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,1.10739790294613
17049,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Maize,Calliandra Callothyrsus,2018-11-01,110,100,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,0.187221529959261
26663,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"ibishyimbo, ibigori, imyumbati",grevillea,2018-11-01,15,5,no,no,no,no,yes,no,no,no,no,yes,no,yes,0.208309803328438
25411,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Sorghom,Grevellia robusta,2018-11-01,12,5,no,yes,no,no,no,no,no,yes,no,no,no,no,0.0523833815470512
3542,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,sorghum,Grevellia Robusta,2018-11-01,15,10,no,no,yes,no,yes,no,no,yes,no,yes,no,no,0.0308585594122406
14315,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"sorghum,banana",grevellea,2018-09-01,15,9,no,no,no,yes,yes,no,no,no,no,no,no,yes,0.0852046852056108
29766,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,Cassava,Grevillea robusta,2018-11-01,10,8,no,no,yes,no,no,no,no,yes,no,yes,no,no,0.106850884629797
22602,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"beans, maize",Senna spectabilis,2018-10-01,20,5,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,0.041516530082519
10935,Eastern,Gatsibo,yes,no,no,no,no,"",Yes,Banana,Persea americana,2018-10-01,3,1,no,no,no,no,yes,no,no,yes,no,yes,no,yes,0.0161666345209555
27647,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,Maizes,Grevillea Robusta,2018-11-01,20,10,no,yes,yes,no,no,no,no,no,no,yes,no,yes,0.096079121482129
8949,Eastern,Kayonza,yes,no,no,no,no,"",No,"",persia americana,2018-09-01,3,1,no,no,no,yes,no,no,no,no,no,no,yes,no,0.0170430064967417
29480,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"banana, cassava, sorghum",spatodea campanulata,2018-10-01,3,2,no,yes,no,no,yes,no,no,yes,no,yes,no,no,0.213655104145251
34393,Eastern,Nyagatare,yes,no,no,no,no,"",Yes,maize,Eucalyptus camalandensis,2018-11-01,70,65,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,0.0772125818064324
31715,Eastern,Kayonza,yes,no,no,no,no,"",Yes,cassava,Grevullea robusta,2018-03-01,10,7,no,yes,yes,no,no,no,no,yes,no,no,no,yes,0.0945460119126668
37591,Eastern,Kayonza,yes,no,no,no,no,"",Yes,"ibigori, insina, ibyishyimbo",Sena,2018-11-01,7,2,no,yes,yes,no,no,no,no,yes,no,yes,no,no,0.229672383201936
17221,Eastern,Bugesera,yes,no,no,no,no,"",Yes,Maize and cassava,Greveria,2018-10-01,40,14,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,0.221400152508351
